id,published_at_utc,title,url,duration_seconds,views,likes,comments,outlier_multiplier,engagement_rate_percent
WOOwVvYoq5I,2026-09-23T19:37:52+00:00,The Most Disgusting Influencer Campaign of 2026,https://www.youtube.com/watch?v=WOOwVvYoq5I,1249,3446023,62775,3800,0.84,2.04
d61n1isTfeo,2026-09-16T16:51:30+00:00,The Hunt for El Mencho,https://www.youtube.com/watch?v=d61n1isTfeo,1549,5684911,66236,2500,1.39,1.25
hK8kzWOBi-U,2026-09-09T14:00:16+00:00,The FBI's Most Valuable Agent,https://www.youtube.com/watch?v=hK8kzWOBi-U,3056,6547078,122396,4800,1.6,2.02
-Gnrp_caPvo,2026-09-02T17:13:32+00:00,The Death of Educational Content on YouTube,https://www.youtube.com/watch?v=-Gnrp_caPvo,1691,10408933,263910,17000,2.55,2.86
65hjeAq6Oq0,2026-08-26T19:35:11+00:00,McDonald's Darkest Secret,https://www.youtube.com/watch?v=65hjeAq6Oq0,1756,2471793,41856,2200,0.61,1.87
zy6ZN1qM3sY,2026-08-19T14:00:03+00:00,The Unsolved Murder in Room 1046,https://www.youtube.com/watch?v=zy6ZN1qM3sY,2132,5434416,146545,5400,1.33,2.9
a4EcjsnM6ro,2026-08-12T14:00:13+00:00,How China's Biggest Scammer Got Caught,https://www.youtube.com/watch?v=a4EcjsnM6ro,1800,2658978,54648,2400,0.65,2.24
Eo0JQLIG6hA,2026-08-05T19:30:55+00:00,"Exposing a $1,900,000,000 Pharma Company",https://www.youtube.com/watch?v=Eo0JQLIG6hA,2682,3032498,55511,5000,0.74,2.16
V6d8Yy7Ji68,2026-07-29T14:00:37+00:00,Hansa: The Infiltration of the Dark Web,https://www.youtube.com/watch?v=V6d8Yy7Ji68,1469,4551610,131467,5400,1.11,3.13
TlioXObelHU,2026-07-22T14:00:04+00:00,The Truth About fern,https://www.youtube.com/watch?v=TlioXObelHU,772,2368697,127172,5300,0.58,5.82
xV82vkJ5Pjw,2026-07-15T15:22:56+00:00,Why Africa Hates McDonald's,https://www.youtube.com/watch?v=xV82vkJ5Pjw,917,1988405,48992,3700,0.49,2.84
EkLmxmUfgBU,2026-07-08T16:30:05+00:00,Inside the Dark World of Poker Cheating,https://www.youtube.com/watch?v=EkLmxmUfgBU,1730,3676464,86243,2900,0.9,2.5
dNGUiWKn6Qs,2026-06-30T14:32:29+00:00,The Kid Who Hacked America,https://www.youtube.com/watch?v=dNGUiWKn6Qs,1941,3854391,83202,2400,0.94,2.28
5pO-MTDW6nU,2026-06-24T16:56:32+00:00,Why Putin Is (Almost) Impossible to Kill,https://www.youtube.com/watch?v=5pO-MTDW6nU,898,5407013,102144,6000,1.32,2.11
i1zD7dY7QYg,2026-06-19T14:00:36+00:00,How Israel Kills Journalists,https://www.youtube.com/watch?v=i1zD7dY7QYg,1665,2134674,115863,11000,0.52,6.46
OWykKXo1k7w,2026-06-10T17:20:14+00:00,How to Escape Auschwitz,https://www.youtube.com/watch?v=OWykKXo1k7w,2317,2562747,65852,3200,0.63,2.82
euePG4NgpUo,2026-06-03T14:00:28+00:00,The Dark Web’s New Deadliest Drug,https://www.youtube.com/watch?v=euePG4NgpUo,1644,4340594,95777,6500,1.06,2.51
hKLIxxBrM-o,2026-05-24T14:00:17+00:00,The Insane Story of Serbia‘s Human Slaughterhouse,https://www.youtube.com/watch?v=hKLIxxBrM-o,1563,4313506,118817,5500,1.06,3.01
