id,timestamp,agent,project,title,angle,hook_headline,duration_sec,word_count,wpm,target_audience,clean_voiceover,audio_path,visual_prompt,status,output_dir,notes
script_01_adhd_reading_hack,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The ADHD Reading Cheat Code,ADHD & Focus Hack,ADHD READING SECRET?,24.0,69,172.5,"Students, neurodivergent readers, people struggling with attention spans","If you have ADHD and can't finish books, stop scrolling. I used to reread the exact same paragraph ten times in a row before giving up completely. Then I imported my entire textbook into VoiceReader, turned on the hyper-realistic narrator at two-times speed, and finished three full chapters while doing my laundry without losing focus once. Is this a genius productivity hack, or does listening count as actual cheating?",,"[The Scroll-Stop Hook]: Creator leans in close to lens, wide eyes, whispering intensely into microphone. | [The Setup & Entities]: B-roll cut: Frustrated creator staring blankly at a dense book, facepalming. | [The Dramatic Twist]: Phone screen recording showing VoiceReader app: animated karaoke highlight running at 2x speed while creator folds clothes with AirPods in. | [The Moral Dilemma & Question]: Creator cuts back to front camera, raising an eyebrow with an amused, questioning grin.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/01_adhd_reading_hack,
script_02_professor_exam_cram,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Professor's Exam Cram Hack,College & Academic Panic,PROFESSORS WILL HATE THIS!,24.0,70,175.0,"College students, high schoolers facing finals","Your professors will genuinely hate me for showing you this secret. Finals are next week and you still have four hundred pages of mandatory reading left to finish. Drop that nightmare PDF right into VoiceReader App. It literally converts dense academic jargon into a natural podcast voice you can absorb at double speed while driving to campus. Would you use this to pass your exams, or stick to all-night cramming?",,"[The Scroll-Stop Hook]: Creator shakes head at camera, finger pointing at viewer in cautionary stance. | [The Setup & Entities]: Cut to laptop screen showing massive 70-page syllabus and dense PDF stack. | [The Dramatic Twist]: Screen capture dragging PDF into VoiceReader: instantly converts into waveforms and crisp, smooth narration. | [The Moral Dilemma & Question]: Creator looks straight down lens, tapping chin thoughtfully.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/02_professor_exam_cram,
script_03_borderline_illegal_hack,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Borderline Illegal Productivity Hack,Tech Secrets & Forbidden Shortcuts,BORDERLINE ILLEGAL APP?,24.0,70,175.0,"Tech enthusiasts, entrepreneurs, productivity geeks","This app feels borderline illegal, but absolutely nobody is talking about it. Everyone complains they don't have enough time to read books or stay on top of industry news. With VoiceReader, you paste any webpage, document, or e-book, and its AI voices sound so incredibly human that you genuinely forget you're not listening to a professionally produced audiobook. Tell me down below: could you replace traditional reading with this completely?",,"[The Scroll-Stop Hook]: Creator glances left and right as if sharing top secret classified info. | [The Setup & Entities]: Quick montage: stack of unread books collecting dust on coffee table. | [The Dramatic Twist]: Live phone demonstration: pasting an article link, voice kicks in with stunningly realistic human cadence. | [The Moral Dilemma & Question]: Creator holds hands up in a weighing scale motion.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/03_borderline_illegal_hack,
script_04_300_page_book_challenge,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The 300-Page Book in 3 Hours Challenge,Speed Reading / Quantifiable Benchmark,300 PAGES IN ONE AFTERNOON?,24.0,69,172.5,"Avid book readers, self-improvement enthusiasts","I just finished an entire three-hundred page book in one afternoon. Most people read at two hundred words per minute, meaning books sit unread on their nightstand. I loaded the whole book into VoiceReader, bumped the speed up to two-point-five, and because the synchronized text highlights every spoken word, my retention was actually higher than reading normally. Would you try this speed-reading method, or is it way too fast?",,"[The Scroll-Stop Hook]: Creator slaps a thick 300-page book onto table, staring into camera in disbelief. | [The Setup & Entities]: Creator pans across a nightstand with 5 half-finished books. | [The Dramatic Twist]: Close up on phone screen: speed slider hitting 2.5x, words glowing yellow as voice flies smoothly. | [The Moral Dilemma & Question]: Creator points down toward comment section with slight smirk.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/04_300_page_book_challenge,
script_05_physical_book_scanner,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Physical Book Camera Scanner,Hardware Camera Magic / Instant Gratification,SCAN ANY PHYSICAL BOOK!,24.0,69,172.5,"Physical book buyers, students with paper handouts","You can literally point your phone camera at physical books now. I had this heavy paperback I wanted to read, but my hands were completely busy prepping dinner. I snapped one quick photo using VoiceReader App, and in under two seconds, it turned the printed page into crystal-clear speech with zero robotic pauses or awkward mispronunciations. Are physical books becoming obsolete, or do you still prefer holding paper pages?",,"[The Scroll-Stop Hook]: Over-the-shoulder shot: Phone camera hovering over open paperback novel. | [The Setup & Entities]: Creator chopping vegetables on cutting board with book propped up awkwardly. | [The Dramatic Twist]: Phone snaps photo in app; instant OCR processing banner turns immediately into smooth audio playback. | [The Moral Dilemma & Question]: Creator holds paperback in one hand, phone in the other, smiling.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/05_physical_book_scanner,
script_06_robot_voice_is_dead,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Robot Voice is Officially Dead,Tech Revolution / AI Voice Quality,ROBOT VOICES ARE DEAD!,24.0,69,172.5,"Tech skeptics, audiobook listeners, casual scrollers","Throw away everything you thought you ever knew about text-to-speech. Remember those awful, stiff GPS voices from ten years ago that gave you an instant headache? VoiceReader just rolled out ultra-natural AI narrators that breathe, pause for dramatic effect, and emphasize key emotional words so realistically that audio producers literally cannot tell the difference. Listen closely for yourself and tell me down below: can you spot the AI voice?",,"[The Scroll-Stop Hook]: Creator waves hand dismissively, intensely leaning towards camera. | [The Setup & Entities]: Imitates monotone robotic voice while clutching temples in mock pain. | [The Dramatic Twist]: VoiceReader voice picker UI showing expressive voice personas, audio waveform pulsing dynamically. | [The Moral Dilemma & Question]: Creator cups hand to ear with a challenging smile.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/06_robot_voice_is_dead,
script_07_severe_screen_fatigue,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Severe Screen Fatigue Fix,"Health, Wellness & Eye Relief",FIX SEVERE SCREEN FATIGUE!,24.0,70,175.0,"Office workers, developers, late-night readers, students","If staring at screens all day gives you migraines, watch this right now. By five PM my eyes were burning, but I still had thirty pages of contracts to review. Instead of ruining my vision, I opened VoiceReader, plugged in my AirPods, closed my eyes, and effortlessly soaked up every single detail while reclining in the dark. Would you rather read with your eyes, or listen like this every day?",,"[The Scroll-Stop Hook]: Creator rubbing tired eyes under harsh fluorescent desk lamp. | [The Setup & Entities]: POV shot of glaring 4K monitor filled with tiny 10pt black-and-white text. | [The Dramatic Twist]: Creator taps AirPod into ear, slumps comfortably into couch, eyes peacefully closed. | [The Moral Dilemma & Question]: Creator opens one eye, smiling relaxed at camera.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/07_severe_screen_fatigue,
script_08_commute_time_machine,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Commute & Gym Time Machine,Habit Stacking & Time Mastery,WASTING 40 MIN IN TRAFFIC?,24.0,69,172.5,"Daily commuters, drivers, fitness goers","Stop wasting forty minutes every morning sitting in heavy rush hour traffic. Most people listen to the exact same radio songs every commute and learn absolutely nothing new. I queued all my work articles and personal reading into VoiceReader. Now my daily drive turns into a private masterclass, and I finish a full book every single week. What are you listening to during your commute right now? Comment below.",,"[The Scroll-Stop Hook]: Creator sitting in car driver seat (parked), hands gesturing in frustration at windshield. | [The Setup & Entities]: Finger repeatedly hitting radio skip buttons on dashboard. | [The Dramatic Twist]: Phone mounted on dashboard connected via Bluetooth playing VoiceReader with clean CarPlay-friendly interface. | [The Moral Dilemma & Question]: Creator points down toward center console/comments.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/08_commute_time_machine,
script_09_lazy_student_secret,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Lazy Student's 4.0 GPA Secret,Unfair Advantage / High Grades,LAZY GUY GOT STRAIGHT A'S?,24.0,69,172.5,High school & university students wanting top marks with minimal effort,"How the laziest guy in our entire class got straight A's effortlessly. He never touched a physical highlighter or opened a single dense textbook during study hall. His secret was scanning lecture slides and syllabi into VoiceReader, putting it on double speed while playing video games, and letting his auditory memory absorb all the exam material automatically. Is this pure academic genius, or is it completely unfair to everyone?",,"[The Scroll-Stop Hook]: Creator leans in conspiratorially, talking low and fast. | [The Setup & Entities]: Pans past fellow students hunched over books with 6 different highlighters. | [The Dramatic Twist]: Split screen: gaming on console while VoiceReader plays synchronized study notes in background. | [The Moral Dilemma & Question]: Creator shrugs with a smirk: 'you decide'.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/09_lazy_student_secret,
script_10_dyslexia_reading_miracle,2026-09-23T11:55:30-07:00,dylan_hook_voiceover,voicereader_ugc_scripts,The Dyslexia & Struggling Reader Miracle,Accessibility & Dual-Modality Learning,MOST LIFE-CHANGING APP?,24.0,69,172.5,"Dyslexic readers, ESL learners, slow reading adults","This might actually be the most life-changing accessibility app ever created. If you struggle with dyslexia, words literally scramble across the screen and make reading agonizingly slow. VoiceReader uses dual modality sensory learning, highlighting every word in bright dynamic color while reading aloud with studio quality AI voices, completely eliminating reading fatigue for good. Share this with someone who struggles with reading, and tell me your personal thoughts below.",,"[The Scroll-Stop Hook]: Creator looks sincerely and directly into camera with genuine awe. | [The Setup & Entities]: Visual effect showing words blurring slightly on a page to illustrate dyslexia struggle. | [The Dramatic Twist]: Crisp close-up on VoiceReader's live karaoke-style word highlighter in action, paired with a warm, natural human voice. | [The Moral Dilemma & Question]: Creator gestures with hands, warm inviting smile.",script_ready,/Users/malickdes/AIWORKSPACE/claude-video/skills/outputs/voicereader_ugc_scripts/10_dyslexia_reading_miracle,
